fips5,place,Trump,Biden,prop_trump,total_cases,pop_est,cases_per_cap
22107,Tensas Parish,1197,1329,0.47387173396674587,3918,7.4023143008,529.2939263030976
22109,Terrebonne Parish,34339,11198,0.7540900805938029,80961,111021,0.7292404139757344
22109,Terrebonne Parish,34339,11198,0.7540900805938029,80961,90.273684487,896.8394328876531
22111,Union Parish,8407,2654,0.7600578609528975,23183,22330,1.0381997313031797
22111,Union Parish,8407,2654,0.7600578609528975,23183,25.46247009,910.4772599852664
22113,Vermilion Parish,21930,5009,0.8140613979731987,44457,59830,0.7430553234163463
22113,Vermilion Parish,21930,5009,0.8140613979731987,44457,50.996753124,871.761382374709
22115,Vernon Parish,14107,2898,0.8295795354307557,23526,48860,0.481498158002456
22115,Vernon Parish,14107,2898,0.8295795354307557,23526,36.794452356,639.3898670478148
22117,Washington Parish,13307,5970,0.69030450796285725,36591,46582,0.7855180112489802
22117,Washington Parish,13307,5970,0.69030450796285725,36591,69.57419951,525.9277182878794
22119,Webster Parish,11829,6172,0.657130159435587,30828,38798,0.794577040053611
22119,Webster Parish,11829,6172,0.657130159435587,30828,65.406449118,471.3296687973857
22121,West Baton Rouge Parish,7684,6200,0.5534428118697782,20194,26427,0.7641427328111401
22121,West Baton Rouge Parish,7684,6200,0.5534428118697782,20194,137.35992887,147.01521882056286
22123,West Carroll Parish,4317,710,0.8587626815197931,7862,10982,0.7158987433982881
22123,West Carroll Parish,4317,710,0.8587626815197931,7862,30.535588317,257.47006798696617
22125,West Feliciana Parish,3863,2298,0.6270086024995942,15750,15460,1.01875808538163
22125,West Feliciana Parish,3863,2298,0.6270086024995942,15750,38.331993276,410.8839289049238
22127,Winn Parish,4617,1543,0.749512987012987,14391,14134,1.0181831045705392
22127,Winn Parish,4617,1543,0.749512987012987,14391,14.876544142,967.361765113902
23003,Aroostook Cty Townships,1141,1069,0.516289592760181,1316,67111,0.01960930398891389
23003,Aroostook Cty Townships,1141,1069,0.516289592760181,1316,10.059723516,130.81870469967694
23007,Franklin Cty Townships,0,0,NA,1687,29897,0.05642706626082884
23007,Franklin Cty Townships,0,0,NA,1687,17.617360561999998,95.75781764033356
23009,Hancock Cty Townships,0,0,NA,1410,54811,0.02572476327744431
23009,Hancock Cty Townships,0,0,NA,1410,34.534791758,40.82839155019295
23017,Oxford Cty Townships,0,0,NA,3492,57618,0.06060606060606061
23017,Oxford Cty Townships,0,0,NA,3492,27.74197472,125.87424057749267
23019,Penobscot Cty Townships,0,0,NA,6236,151096,0.04127177423624715
23019,Penobscot Cty Townships,0,0,NA,6236,44.476722321,140.20817350238124
23021,Piscataquis Cty Townshps,61,26,0.7011494252873564,216,16800,0.012857142857142857
23021,Piscataquis Cty Townshps,61,26,0.7011494252873564,216,4.2413218836,50.92751880851375
23025,Somerset Cty Townships,0,0,NA,3386,50592,0.06692757748260594
23025,Somerset Cty Townships,0,0,NA,3386,12.891799116,262.6475924370896
23029,Washington Cty Townships,0,0,NA,980,31490,0.031120990790727214
23029,Washington Cty Townships,0,0,NA,980,12.287765267,79.75412767949648
77777,Indian Township Vtng Dst,0,0,NA,NA,NA,NA
88888,Oxbow Plt.,0,0,NA,NA,NA,NA
99999,Pleasant Point Votng Dst,0,0,NA,NA,NA,NA
23001,Auburn,5426,6471,0.4560813650500126,17999,107679,0.16715422691518309
23001,Auburn,5426,6471,0.4560813650500126,17999,230.11336067,78.21797025428667
23001,Durham,1333,1361,0.49480326651818857,17999,107679,0.16715422691518309
23001,Durham,1333,1361,0.49480326651818857,17999,230.11336067,78.21797025428667
23001,Greene,1663,914,0.6453240201785021,17999,107679,0.16715422691518309
23001,Greene,1663,914,0.6453240201785021,17999,230.11336067,78.21797025428667
23001,Leeds,818,505,0.618291761148904,17999,107679,0.16715422691518309
23001,Leeds,818,505,0.618291761148904,17999,230.11336067,78.21797025428667
23001,Lewiston,7206,9578,0.42933746425166824,17999,107679,0.16715422691518309
23001,Lewiston,7206,9578,0.42933746425166824,17999,230.11336067,78.21797025428667
23001,Lisbon,2853,2190,0.5657346817370613,17999,107679,0.16715422691518309
23001,Lisbon,2853,2190,0.5657346817370613,17999,230.11336067,78.21797025428667
23001,Livermore,783,573,0.577433628318584,17999,107679,0.16715422691518309
23001,Livermore,783,573,0.577433628318584,17999,230.11336067,78.21797025428667
23001,Livermore Falls,809,540,0.5997034840622684,17999,107679,0.16715422691518309
23001,Livermore Falls,809,540,0.5997034840622684,17999,230.11336067,78.21797025428667
23001,Mechanic Falls,989,650,0.6034167175106773,17999,107679,0.16715422691518309
23001,Mechanic Falls,989,650,0.6034167175106773,17999,230.11336067,78.21797025428667
23001,Minot,1040,676,0.6060606060606061,17999,107679,0.16715422691518309
23001,Minot,1040,676,0.6060606060606061,17999,230.11336067,78.21797025428667
23001,Poland,1906,1513,0.557472945305645,17999,107679,0.16715422691518309
23001,Poland,1906,1513,0.557472945305645,17999,230.11336067,78.21797025428667
23001,Sabattus,1765,1034,0.6305823508395856,17999,107679,0.16715422691518309
23001,Sabattus,1765,1034,0.6305823508395856,17999,230.11336067,78.21797025428667
23001,Turner,2052,1288,0.61437125748503,17999,107679,0.16715422691518309
23001,Turner,2052,1288,0.61437125748503,17999,230.11336067,78.21797025428667
23001,Wales,616,275,0.691358024691358,17999,107679,0.16715422691518309
23001,Wales,616,275,0.691358024691358,17999,230.11336067,78.21797025428667
23003,Allagash,95,74,0.5621301775147929,1316,67111,0.01960930398891389
23003,Allagash,95,74,0.5621301775147929,1316,10.059723516,130.81870469967694
23003,Amity,0,0,NA,1316,67111,0.01960930398891389
23003,Amity,0,0,NA,1316,10.059723516,130.81870469967694
23003,Ashland,0,0,NA,1316,67111,0.01960930398891389
23003,Ashland,0,0,NA,1316,10.059723516,130.81870469967694
23003,Blaine,0,0,NA,1316,67111,0.01960930398891389
23003,Blaine,0,0,NA,1316,10.059723516,130.81870469967694
23003,Bridgewater,214,82,0.722972972972973,1316,67111,0.01960930398891389
23003,Bridgewater,214,82,0.722972972972973,1316,10.059723516,130.81870469967694
23003,Caribou,2262,1702,0.570635721493441,1316,67111,0.01960930398891389
23003,Caribou,2262,1702,0.570635721493441,1316,10.059723516,130.81870469967694
23003,Cary Plt.,0,0,NA,1316,67111,0.01960930398891389
23003,Cary Plt.,0,0,NA,1316,10.059723516,130.81870469967694
23003,Castle Hill,130,97,0.5726872246696035,1316,67111,0.01960930398891389
23003,Castle Hill,130,97,0.5726872246696035,1316,10.059723516,130.81870469967694
23003,Caswell,0,0,NA,1316,67111,0.01960930398891389
23003,Caswell,0,0,NA,1316,10.059723516,130.81870469967694
23003,Chapman,177,97,0.6459854014598541,1316,67111,0.01960930398891389
23003,Chapman,177,97,0.6459854014598541,1316,10.059723516,130.81870469967694
23003,Crystal,120,39,0.7547169811320755,1316,67111,0.01960930398891389
23003,Crystal,120,39,0.7547169811320755,1316,10.059723516,130.81870469967694
23003,Cyr Plt.,0,0,NA,1316,67111,0.01960930398891389
23003,Cyr Plt.,0,0,NA,1316,10.059723516,130.81870469967694
23003,Dyer Brook,106,40,0.726027397260274,1316,67111,0.01960930398891389
23003,Dyer Brook,106,40,0.726027397260274,1316,10.059723516,130.81870469967694
23003,Eagle Lake,256,197,0.565121412803532,1316,67111,0.01960930398891389
23003,Eagle Lake,256,197,0.565121412803532,1316,10.059723516,130.81870469967694
23003,Easton,467,241,0.6596045197740112,1316,67111,0.01960930398891389
23003,Easton,467,241,0.6596045197740112,1316,10.059723516,130.81870469967694
23003,Fort Fairfield,985,674,0.5937311633514165,1316,67111,0.01960930398891389
23003,Fort Fairfield,985,674,0.5937311633514165,1316,10.059723516,130.81870469967694
23003,Fort Kent,1141,1069,0.516289592760181,1316,67111,0.01960930398891389
23003,Fort Kent,1141,1069,0.516289592760181,1316,10.059723516,130.81870469967694
23003,Frenchville,361,235,0.6057046979865772,1316,67111,0.01960930398891389
23003,Frenchville,361,235,0.6057046979865772,1316,10.059723516,130.81870469967694
23003,Garfield Plt.,0,0,NA,1316,67111,0.01960930398891389
23003,Garfield Plt.,0,0,NA,1316,10.059723516,130.81870469967694
23003,Glenwood Plt.,0,0,NA,1316,67111,0.01960930398891389
23003,Glenwood Plt.,0,0,NA,1316,10.059723516,130.81870469967694
23003,Grand Isle,119,107,0.5265486725663717,1316,67111,0.01960930398891389
23003,Grand Isle,119,107,0.5265486725663717,1316,10.059723516,130.81870469967694
23003,Hamlin,0,0,NA,1316,67111,0.01960930398891389
23003,Hamlin,0,0,NA,1316,10.059723516,130.81870469967694
23003,Hammond,0,0,NA,1316,67111,0.01960930398891389
23003,Hammond,0,0,NA,1316,10.059723516,130.81870469967694
23003,Haynesville,0,0,NA,1316,67111,0.01960930398891389
23003,Haynesville,0,0,NA,1316,10.059723516,130.81870469967694
23003,Hersey,33,8,0.8048780487804879,1316,67111,0.01960930398891389
23003,Hersey,33,8,0.8048780487804879,1316,10.059723516,130.81870469967694
23003,Hodgdon,613,113,0.8443526170798898,1316,67111,0.01960930398891389
23003,Hodgdon,613,113,0.8443526170798898,1316,10.059723516,130.81870469967694
23003,Houlton,1639,1046,0.6104283054003724,1316,67111,0.01960930398891389
23003,Houlton,1639,1046,0.6104283054003724,1316,10.059723516,130.81870469967694
23003,Island Falls,306,132,0.6986301369863014,1316,67111,0.01960930398891389
23003,Island Falls,306,132,0.6986301369863014,1316,10.059723516,130.81870469967694
23003,Limestone,423,325,0.5655080213903744,1316,67111,0.01960930398891389
